,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:31:00.819000,NOR,1,,1.0,1.0,0 days 00:29:33.915000,,,30.93,23.592,,0 days 00:30:37.404000,0 days 00:31:00.908000,250.0,236.0,268.0,,False,SOFT,1.0,True,McLaren,0 days 00:29:33.915000,2026-07-25 10:46:34.959,1,,False,,False,False,,
1,0 days 00:32:19.881000,NOR,1,0 days 00:01:19.062000,2.0,1.0,,,27.98,28.42,22.662,0 days 00:31:28.799000,0 days 00:31:57.219000,0 days 00:32:19.881000,303.0,253.0,260.0,326.0,True,SOFT,2.0,True,McLaren,0 days 00:31:00.819000,2026-07-25 10:48:01.863,1,,False,,False,True,79.062,79.06200000000001
2,0 days 00:39:42.232000,NOR,1,,3.0,1.0,,0 days 00:34:26.482000,47.336,,,0 days 00:33:07.590000,,,164.0,,,225.0,False,SOFT,3.0,True,McLaren,0 days 00:32:19.881000,2026-07-25 10:49:20.925,125,,False,,False,False,,
3,0 days 00:41:19.076000,NOR,1,,4.0,2.0,0 days 00:39:42.232000,,,31.566,24.743,,0 days 00:40:54.435000,0 days 00:41:19.123000,253.0,232.0,226.0,225.0,False,SOFT,4.0,False,McLaren,0 days 00:39:42.232000,2026-07-25 10:56:43.276,1,,False,,False,False,,
4,0 days 00:42:52.261000,NOR,1,0 days 00:01:33.185000,5.0,2.0,,,31.341,31.02,30.824,0 days 00:41:50.417000,0 days 00:42:21.437000,0 days 00:42:52.261000,259.0,182.0,268.0,265.0,False,SOFT,5.0,False,McLaren,0 days 00:41:19.076000,2026-07-25 10:58:20.120,1,,False,,False,True,93.185,93.185
5,0 days 00:44:12.142000,NOR,1,0 days 00:01:19.881000,6.0,2.0,,,27.899,28.499,23.483,0 days 00:43:20.160000,0 days 00:43:48.659000,0 days 00:44:12.142000,304.0,252.0,259.0,328.0,False,SOFT,6.0,False,McLaren,0 days 00:42:52.261000,2026-07-25 10:59:53.305,1,,False,,False,True,79.881,79.881
6,0 days 00:46:17.004000,NOR,1,0 days 00:02:04.862000,7.0,2.0,,,45.834,49.383,29.645,0 days 00:44:57.976000,0 days 00:45:47.359000,0 days 00:46:17.004000,130.0,185.0,266.0,234.0,False,SOFT,7.0,False,McLaren,0 days 00:44:12.142000,2026-07-25 11:01:13.186,1,,False,,False,True,124.862,124.86200000000001
7,0 days 00:48:00.485000,NOR,1,0 days 00:01:43.481000,8.0,2.0,,,34.884,41.288,27.309,0 days 00:46:51.888000,0 days 00:47:33.176000,0 days 00:48:00.485000,172.0,212.0,267.0,327.0,False,SOFT,8.0,False,McLaren,0 days 00:46:17.004000,2026-07-25 11:03:18.048,1,,False,,False,True,103.481,103.481
8,0 days 00:49:20.978000,NOR,1,0 days 00:01:20.493000,9.0,2.0,,,28.065,28.208,24.22,0 days 00:48:28.550000,0 days 00:48:56.758000,0 days 00:49:20.978000,304.0,249.0,158.0,325.0,False,SOFT,9.0,False,McLaren,0 days 00:48:00.485000,2026-07-25 11:05:01.529,1,,False,,False,True,80.493,80.493
9,0 days 00:51:04.377000,NOR,1,0 days 00:01:43.399000,10.0,2.0,,0 days 00:51:02.614000,38.744,35.433,29.222,0 days 00:49:59.722000,0 days 00:50:35.155000,0 days 00:51:04.377000,236.0,159.0,,218.0,False,SOFT,10.0,False,McLaren,0 days 00:49:20.978000,2026-07-25 11:06:22.022,1,,False,,False,False,103.399,103.399
10,0 days 00:57:04.413000,NOR,1,,11.0,3.0,0 days 00:55:34.457000,,,31.921,24.938,,0 days 00:56:39.645000,0 days 00:57:04.413000,262.0,230.0,239.0,218.0,False,SOFT,1.0,True,McLaren,0 days 00:51:04.377000,2026-07-25 11:08:05.421,1,,False,,False,False,,
11,0 days 00:58:29.805000,NOR,1,0 days 00:01:25.392000,12.0,3.0,,,30.411,30.2,24.781,0 days 00:57:34.824000,0 days 00:58:05.024000,0 days 00:58:29.805000,264.0,238.0,269.0,295.0,False,SOFT,2.0,True,McLaren,0 days 00:57:04.413000,2026-07-25 11:14:05.457,1,,False,,False,True,85.392,85.392
12,0 days 00:59:48.011000,NOR,1,0 days 00:01:18.206000,13.0,3.0,,,27.619,27.889,22.698,0 days 00:58:57.424000,0 days 00:59:25.313000,0 days 00:59:48.011000,302.0,257.0,261.0,328.0,True,SOFT,3.0,True,McLaren,0 days 00:58:29.805000,2026-07-25 11:15:30.849,1,,False,,False,True,78.206,78.20599999999999
13,0 days 01:01:47.868000,NOR,1,0 days 00:01:59.857000,14.0,3.0,,,41.297,44.229,34.331,0 days 01:00:29.308000,0 days 01:01:13.537000,0 days 01:01:47.868000,159.0,162.0,151.0,221.0,False,SOFT,4.0,True,McLaren,0 days 00:59:48.011000,2026-07-25 11:16:49.055,1,,False,,False,True,119.857,119.857
14,0 days 01:03:31.551000,NOR,1,0 days 00:01:43.683000,15.0,3.0,,,41.456,35.812,26.415,0 days 01:02:29.324000,0 days 01:03:05.136000,0 days 01:03:31.551000,200.0,211.0,269.0,220.0,False,SOFT,5.0,True,McLaren,0 days 01:01:47.868000,2026-07-25 11:18:48.912,1,,False,,False,True,103.683,103.68299999999999
15,0 days 01:04:49.490000,NOR,1,0 days 00:01:17.939000,16.0,3.0,,,27.632,27.839,22.468,0 days 01:03:59.183000,0 days 01:04:27.022000,0 days 01:04:49.490000,302.0,255.0,263.0,327.0,True,SOFT,6.0,True,McLaren,0 days 01:03:31.551000,2026-07-25 11:20:32.595,1,,False,,False,True,77.939,77.93900000000001
16,0 days 01:06:24.412000,NOR,1,0 days 00:01:34.922000,17.0,3.0,,0 days 01:06:22.588000,32.256,33.61,29.056,0 days 01:05:21.746000,0 days 01:05:55.356000,0 days 01:06:24.412000,254.0,234.0,,230.0,False,SOFT,7.0,True,McLaren,0 days 01:04:49.490000,2026-07-25 11:21:50.534,1,,False,,False,False,94.922,94.922
17,0 days 01:13:51.011000,NOR,1,,18.0,4.0,0 days 01:12:01.391000,,,33.189,25.045,,0 days 01:13:26.091000,0 days 01:13:51.011000,218.0,215.0,247.0,230.0,False,SOFT,8.0,False,McLaren,0 days 01:06:24.412000,2026-07-25 11:23:25.456,1,,False,,False,False,,
18,0 days 01:15:40.233000,NOR,1,0 days 00:01:49.222000,19.0,4.0,,,33.11,35.363,40.749,0 days 01:14:24.121000,0 days 01:14:59.484000,0 days 01:15:40.233000,209.0,218.0,52.0,315.0,False,SOFT,9.0,False,McLaren,0 days 01:13:51.011000,2026-07-25 11:30:52.055,1,,False,,False,True,109.222,109.22200000000001
19,0 days 01:17:38.408000,NOR,1,0 days 00:01:58.175000,20.0,4.0,,0 days 01:17:36.264000,58.664,31.343,28.168,0 days 01:16:38.897000,0 days 01:17:10.240000,0 days 01:17:38.408000,272.0,226.0,,265.0,False,SOFT,10.0,False,McLaren,0 days 01:15:40.233000,2026-07-25 11:32:41.277,1,,False,,False,False,118.175,118.17500000000001
20,0 days 00:41:09.724000,VER,3,,1.0,1.0,0 days 00:39:26.637000,,,32.438,28.013,,0 days 00:40:41.981000,0 days 00:41:09.854000,240.0,221.0,269.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:39:26.637000,2026-07-25 10:56:27.681,1,,False,,False,False,,
21,0 days 00:42:29.288000,VER,3,0 days 00:01:19.564000,2.0,1.0,,,27.982,28.94,22.642,0 days 00:41:37.706000,0 days 00:42:06.646000,0 days 00:42:29.288000,301.0,253.0,263.0,325.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:41:09.724000,2026-07-25 10:58:10.768,1,,False,,False,True,79.564,79.564
22,0 days 00:44:41.849000,VER,3,0 days 00:02:12.561000,3.0,1.0,,,54.944,51.02,26.597,0 days 00:43:24.232000,0 days 00:44:15.252000,0 days 00:44:41.849000,142.0,169.0,266.0,176.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:42:29.288000,2026-07-25 10:59:30.332,1,,False,,False,True,132.561,132.561
23,0 days 00:46:01.130000,VER,3,0 days 00:01:19.281000,4.0,1.0,,,27.955,28.265,23.061,0 days 00:45:09.804000,0 days 00:45:38.069000,0 days 00:46:01.130000,294.0,254.0,262.0,325.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:44:41.849000,2026-07-25 11:01:42.893,1,,False,,False,True,79.281,79.281
24,0 days 00:47:45.096000,VER,3,0 days 00:01:43.966000,5.0,1.0,,0 days 00:47:43.407000,37.176,36.305,30.485,0 days 00:46:38.306000,0 days 00:47:14.611000,0 days 00:47:45.096000,209.0,202.0,,215.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:46:01.130000,2026-07-25 11:03:02.174,1,,False,,False,False,103.966,103.966
25,0 days 00:59:09.664000,VER,3,,6.0,2.0,0 days 00:57:30.912000,,,37.079,24.31,,0 days 00:58:45.512000,0 days 00:59:09.673000,239.0,229.0,269.0,215.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:47:45.096000,2026-07-25 11:04:46.140,1,,False,,False,False,,
26,0 days 01:00:28.320000,VER,3,0 days 00:01:18.656000,7.0,2.0,,,27.652,28.282,22.722,0 days 00:59:37.316000,0 days 01:00:05.598000,0 days 01:00:28.320000,297.0,254.0,258.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:59:09.664000,2026-07-25 11:16:10.708,1,,False,,False,True,78.656,78.656
27,0 days 01:02:17.987000,VER,3,0 days 00:01:49.667000,8.0,2.0,,0 days 01:02:16.136000,39.595,39.188,30.884,0 days 01:01:07.915000,0 days 01:01:47.103000,0 days 01:02:17.987000,186.0,187.0,,210.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:00:28.320000,2026-07-25 11:17:29.364,1,,False,,False,False,109.667,109.667
28,0 days 01:08:51.930000,VER,3,,9.0,3.0,0 days 01:07:11.173000,,,39.711,25.564,,0 days 01:08:26.543000,0 days 01:08:52.055000,207.0,228.0,266.0,210.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:02:17.987000,2026-07-25 11:19:19.031,1,,False,,False,False,,
29,0 days 01:10:10.902000,VER,3,0 days 00:01:18.972000,10.0,3.0,,,27.912,28.32,22.74,0 days 01:09:19.842000,0 days 01:09:48.162000,0 days 01:10:10.902000,298.0,251.0,256.0,321.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:08:51.930000,2026-07-25 11:25:52.974,1,,False,,False,True,78.972,78.972
30,0 days 01:12:20.623000,VER,3,0 days 00:02:09.721000,11.0,3.0,,,52.708,49.365,27.648,0 days 01:11:03.610000,0 days 01:11:52.975000,0 days 01:12:20.623000,168.0,105.0,268.0,176.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:10:10.902000,2026-07-25 11:27:11.946,1,,False,,False,True,129.721,129.721
31,0 days 01:14:01.339000,VER,3,0 days 00:01:40.716000,12.0,3.0,,,30.252,41.226,29.238,0 days 01:12:50.875000,0 days 01:13:32.101000,0 days 01:14:01.339000,193.0,152.0,187.0,324.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:12:20.623000,2026-07-25 11:29:21.667,1,,False,,False,True,100.716,100.716
32,0 days 01:16:23.408000,VER,3,0 days 00:02:22.069000,13.0,3.0,,,36.429,33.895,71.745,0 days 01:14:37.768000,0 days 01:15:11.663000,0 days 01:16:23.408000,214.0,177.0,109.0,214.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:14:01.339000,2026-07-25 11:31:02.383,1,,False,,False,True,142.069,142.06900000000002
33,0 days 01:18:03.733000,VER,3,0 days 00:01:40.325000,14.0,3.0,,0 days 01:18:01.991000,33.664,35.963,30.698,0 days 01:16:57.072000,0 days 01:17:33.035000,0 days 01:18:03.733000,217.0,205.0,,282.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:16:23.408000,2026-07-25 11:33:24.452,1,,False,,False,False,100.325,100.32500000000002
34,0 days 00:29:24.252000,BOR,5,,1.0,1.0,0 days 00:27:32.482000,,,34.124,26.8,,0 days 00:28:57.630000,0 days 00:29:24.255000,252.0,220.0,266.0,,False,MEDIUM,1.0,True,Audi,0 days 00:27:32.482000,2026-07-25 10:44:33.526,1,,False,,False,False,,
35,0 days 00:30:45.732000,BOR,5,0 days 00:01:21.480000,2.0,1.0,,,29.028,29.312,23.14,0 days 00:29:53.280000,0 days 00:30:22.592000,0 days 00:30:45.732000,302.0,248.0,259.0,327.0,True,MEDIUM,2.0,True,Audi,0 days 00:29:24.252000,2026-07-25 10:46:25.296,1,,False,,False,True,81.48,81.48
36,0 days 00:32:47.284000,BOR,5,0 days 00:02:01.552000,3.0,1.0,,0 days 00:32:45.421000,43.873,43.228,34.451,0 days 00:31:29.605000,0 days 00:32:12.833000,0 days 00:32:47.284000,148.0,155.0,,245.0,False,MEDIUM,3.0,True,Audi,0 days 00:30:45.732000,2026-07-25 10:47:46.776,1,,False,,False,False,121.552,121.55199999999999
37,0 days 00:39:51.525000,BOR,5,,4.0,2.0,0 days 00:33:10.460000,0 days 00:35:04.123000,,,,,,,,,,,False,MEDIUM,4.0,False,Audi,0 days 00:32:47.284000,2026-07-25 10:49:48.328,125,,False,,False,False,,
38,0 days 00:41:31.675000,BOR,5,,5.0,3.0,0 days 00:39:51.525000,,,34.141,27.544,,0 days 00:41:04.309000,0 days 00:41:31.802000,242.0,221.0,229.0,245.0,False,MEDIUM,5.0,False,Audi,0 days 00:39:51.525000,2026-07-25 10:56:52.569,1,,False,,False,False,,
39,0 days 00:43:07.360000,BOR,5,0 days 00:01:35.685000,6.0,3.0,,,32.876,34.153,28.656,0 days 00:42:04.551000,0 days 00:42:38.704000,0 days 00:43:07.360000,242.0,219.0,265.0,271.0,False,MEDIUM,6.0,False,Audi,0 days 00:41:31.675000,2026-07-25 10:58:32.719,1,,False,,False,True,95.685,95.685
40,0 days 00:44:27.933000,BOR,5,0 days 00:01:20.573000,7.0,3.0,,,28.278,29.02,23.275,0 days 00:43:35.638000,0 days 00:44:04.658000,0 days 00:44:27.933000,299.0,254.0,258.0,324.0,True,MEDIUM,7.0,False,Audi,0 days 00:43:07.360000,2026-07-25 11:00:08.404,1,,False,,False,True,80.573,80.57300000000001
41,0 days 00:46:31.822000,BOR,5,0 days 00:02:03.889000,8.0,3.0,,0 days 00:46:29.983000,41.97,45.891,36.028,0 days 00:45:09.903000,0 days 00:45:55.794000,0 days 00:46:31.822000,123.0,141.0,,244.0,False,MEDIUM,8.0,False,Audi,0 days 00:44:27.933000,2026-07-25 11:01:28.977,1,,False,,False,False,123.889,123.88899999999998
42,0 days 00:48:34.336000,BOR,5,0 days 00:02:02.514000,9.0,4.0,0 days 00:46:46.652000,,56.444,40.415,25.655,0 days 00:47:28.266000,0 days 00:48:08.681000,0 days 00:48:34.336000,172.0,216.0,265.0,244.0,False,MEDIUM,9.0,False,Audi,0 days 00:46:31.822000,2026-07-25 11:03:32.866,1,,False,,False,False,122.514,122.51400000000001
43,0 days 00:50:16.397000,BOR,5,0 days 00:01:42.061000,10.0,4.0,,,34.493,34.592,32.976,0 days 00:49:08.829000,0 days 00:49:43.421000,0 days 00:50:16.397000,253.0,193.0,265.0,325.0,False,MEDIUM,10.0,False,Audi,0 days 00:48:34.336000,2026-07-25 11:05:35.380,1,,True,TRACK LIMITS AT TURN 1 LAP 11 ,False,True,102.061,102.061
44,0 days 00:51:38.213000,BOR,5,0 days 00:01:21.816000,11.0,4.0,,,28.743,29.678,23.395,0 days 00:50:45.140000,0 days 00:51:14.818000,0 days 00:51:38.213000,298.0,241.0,256.0,325.0,False,MEDIUM,11.0,False,Audi,0 days 00:50:16.397000,2026-07-25 11:07:17.441,1,,False,,False,True,81.816,81.816
45,0 days 00:53:16.470000,BOR,5,0 days 00:01:38.257000,12.0,4.0,,,38.306,35.559,24.392,0 days 00:52:16.519000,0 days 00:52:52.078000,0 days 00:53:16.470000,173.0,219.0,263.0,254.0,False,MEDIUM,12.0,False,Audi,0 days 00:51:38.213000,2026-07-25 11:08:39.257,1,,False,,False,True,98.257,98.25699999999999
46,0 days 00:55:01.818000,BOR,5,0 days 00:01:45.348000,13.0,4.0,,0 days 00:54:59.942000,36.64,37.872,30.836,0 days 00:53:53.110000,0 days 00:54:30.982000,0 days 00:55:01.818000,98.0,215.0,,325.0,False,MEDIUM,13.0,False,Audi,0 days 00:53:16.470000,2026-07-25 11:10:17.514,1,,False,,False,False,105.348,105.348
47,0 days 01:01:04.302000,BOR,5,,14.0,5.0,0 days 00:59:29.779000,,,33.35,24.901,,0 days 01:00:39.634000,0 days 01:01:04.386000,243.0,220.0,267.0,325.0,False,SOFT,1.0,True,Audi,0 days 00:55:01.818000,2026-07-25 11:12:02.862,1,,False,,False,False,,
48,0 days 01:02:23.640000,BOR,5,0 days 00:01:19.338000,15.0,5.0,,,28.061,28.497,22.78,0 days 01:01:32.363000,0 days 01:02:00.860000,0 days 01:02:23.640000,298.0,252.0,257.0,326.0,True,SOFT,2.0,True,Audi,0 days 01:01:04.302000,2026-07-25 11:18:05.346,1,,False,,False,True,79.338,79.338
49,0 days 01:04:27.049000,BOR,5,0 days 00:02:03.409000,16.0,5.0,,0 days 01:04:25.323000,41.541,46.65,35.218,0 days 01:03:05.181000,0 days 01:03:51.831000,0 days 01:04:27.049000,152.0,169.0,,234.0,False,SOFT,3.0,True,Audi,0 days 01:02:23.640000,2026-07-25 11:19:24.684,1,,False,,False,False,123.409,123.409
50,0 days 01:06:39.989000,BOR,5,0 days 00:02:12.940000,17.0,6.0,0 days 01:04:50.340000,,63.999,37.005,31.936,0 days 01:05:31.048000,0 days 01:06:08.053000,0 days 01:06:39.989000,159.0,224.0,266.0,234.0,False,SOFT,4.0,False,Audi,0 days 01:04:27.049000,2026-07-25 11:21:28.093,1,,False,,False,False,132.94,132.94
51,0 days 01:07:59.655000,BOR,5,0 days 00:01:19.666000,18.0,6.0,,,28.057,28.753,22.856,0 days 01:07:08.046000,0 days 01:07:36.799000,0 days 01:07:59.655000,282.0,255.0,259.0,326.0,False,SOFT,5.0,False,Audi,0 days 01:06:39.989000,2026-07-25 11:23:41.033,1,,False,,False,True,79.666,79.666
52,0 days 01:09:32.537000,BOR,5,0 days 00:01:32.882000,19.0,6.0,,0 days 01:09:30.812000,36.172,30.506,26.204,0 days 01:08:35.827000,0 days 01:09:06.333000,0 days 01:09:32.537000,253.0,247.0,,284.0,False,SOFT,6.0,False,Audi,0 days 01:07:59.655000,2026-07-25 11:25:00.699,1,,False,,False,False,92.882,92.882
53,0 days 01:13:26.728000,BOR,5,,20.0,7.0,0 days 01:11:28.330000,,,33.984,26.119,,0 days 01:13:00.837000,0 days 01:13:26.801000,252.0,210.0,239.0,284.0,False,SOFT,7.0,False,Audi,0 days 01:09:32.537000,2026-07-25 11:26:33.581,1,,False,,False,False,,
54,0 days 01:15:18.084000,BOR,5,0 days 00:01:51.356000,21.0,7.0,,,33.08,40.407,37.869,0 days 01:13:59.808000,0 days 01:14:40.215000,0 days 01:15:18.084000,184.0,169.0,70.0,264.0,False,SOFT,8.0,False,Audi,0 days 01:13:26.728000,2026-07-25 11:30:27.772,1,,False,,False,True,111.356,111.356
55,0 days 01:17:12.686000,BOR,5,0 days 00:01:54.602000,22.0,7.0,,0 days 01:17:10.783000,49.927,34.694,29.981,0 days 01:16:08.011000,0 days 01:16:42.705000,0 days 01:17:12.686000,253.0,181.0,,256.0,False,SOFT,9.0,False,Audi,0 days 01:15:18.084000,2026-07-25 11:32:19.128,1,,False,,False,False,114.602,114.602
56,0 days 00:31:30.468000,HAD,6,,1.0,1.0,0 days 00:29:56.758000,,,32.791,26.479,,0 days 00:31:04.301000,0 days 00:31:30.667000,245.0,231.0,264.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:29:56.758000,2026-07-25 10:46:57.802,1,,False,,False,False,,
57,0 days 00:32:49.826000,HAD,6,0 days 00:01:19.358000,2.0,1.0,,,28.144,28.595,22.619,0 days 00:31:58.612000,0 days 00:32:27.207000,0 days 00:32:49.826000,300.0,254.0,259.0,325.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:31:30.468000,2026-07-25 10:48:31.512,1,,False,,False,True,79.358,79.358
58,0 days 00:40:27.370000,HAD,6,,3.0,1.0,,0 days 00:34:49.487000,,,,,,,,,,193.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:32:49.826000,2026-07-25 10:49:50.870,125,,False,,False,False,,
59,0 days 00:42:15.150000,HAD,6,,4.0,2.0,0 days 00:40:27.370000,,,33.738,31.124,,0 days 00:41:44.341000,0 days 00:42:15.150000,250.0,133.0,265.0,193.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:40:27.370000,2026-07-25 10:57:28.414,1,,False,,False,False,,
60,0 days 00:44:02.163000,HAD,6,0 days 00:01:47.013000,5.0,2.0,,,28.036,40.928,38.049,0 days 00:42:43.186000,0 days 00:43:24.114000,0 days 00:44:02.163000,301.0,143.0,196.0,324.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:42:15.150000,2026-07-25 10:59:16.194,1,,True,TRACK LIMITS AT TURN 4 LAP 6 ,False,True,107.013,107.013
61,0 days 00:45:44.383000,HAD,6,0 days 00:01:42.220000,6.0,2.0,,,39.033,37.106,26.081,0 days 00:44:41.196000,0 days 00:45:18.302000,0 days 00:45:44.383000,236.0,189.0,264.0,233.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:44:02.163000,2026-07-25 11:01:03.207,1,,False,,False,True,102.22,102.22000000000001
62,0 days 00:47:03.468000,HAD,6,0 days 00:01:19.085000,7.0,2.0,,,27.983,28.373,22.729,0 days 00:46:12.366000,0 days 00:46:40.739000,0 days 00:47:03.468000,300.0,252.0,260.0,324.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:45:44.383000,2026-07-25 11:02:45.427,1,,False,,False,True,79.085,79.08500000000001
63,0 days 00:48:45.070000,HAD,6,0 days 00:01:41.602000,8.0,2.0,,0 days 00:48:43.375000,37.308,33.03,31.264,0 days 00:47:40.776000,0 days 00:48:13.806000,0 days 00:48:45.070000,240.0,220.0,,198.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:47:03.468000,2026-07-25 11:04:04.512,1,,False,,False,False,101.602,101.60199999999999
64,0 days 00:58:19.245000,HAD,6,,9.0,3.0,0 days 00:56:45.412000,,,35.477,24.248,,0 days 00:57:55.175000,0 days 00:58:19.245000,251.0,232.0,267.0,198.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:48:45.070000,2026-07-25 11:05:46.114,1,,False,,False,False,,
65,0 days 00:59:48.400000,HAD,6,0 days 00:01:29.155000,10.0,3.0,,0 days 00:59:46.519000,27.926,28.277,32.952,0 days 00:58:47.171000,0 days 00:59:15.448000,0 days 00:59:48.400000,296.0,258.0,,325.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:58:19.245000,2026-07-25 11:15:20.289,1,,False,,False,False,89.155,89.155
66,0 days 01:06:46.438000,HAD,6,,11.0,4.0,0 days 01:04:53.068000,,,33.219,38.165,,0 days 01:06:08.595000,0 days 01:06:46.588000,256.0,231.0,267.0,325.0,False,SOFT,3.0,False,Red Bull Racing,0 days 00:59:48.400000,2026-07-25 11:16:49.444,1,,False,,False,False,,
67,0 days 01:08:05.490000,HAD,6,0 days 00:01:19.052000,12.0,4.0,,,28.034,28.365,22.653,0 days 01:07:14.472000,0 days 01:07:42.837000,0 days 01:08:05.490000,299.0,256.0,260.0,327.0,True,SOFT,4.0,False,Red Bull Racing,0 days 01:06:46.438000,2026-07-25 11:23:47.482,1,,False,,False,True,79.052,79.05199999999999
68,0 days 01:10:10.352000,HAD,6,0 days 00:02:04.862000,13.0,4.0,,,46.971,47.126,30.765,0 days 01:08:52.461000,0 days 01:09:39.587000,0 days 01:10:10.352000,154.0,152.0,186.0,205.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:08:05.490000,2026-07-25 11:25:06.534,1,,False,,False,True,124.862,124.862
69,0 days 01:11:56.050000,HAD,6,0 days 00:01:45.698000,14.0,4.0,,,40.515,36.239,28.944,0 days 01:10:50.867000,0 days 01:11:27.106000,0 days 01:11:56.050000,158.0,226.0,267.0,236.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:10:10.352000,2026-07-25 11:27:11.396,1,,False,,False,True,105.698,105.698
70,0 days 01:13:14.993000,HAD,6,0 days 00:01:18.943000,15.0,4.0,,,27.845,28.337,22.761,0 days 01:12:23.895000,0 days 01:12:52.232000,0 days 01:13:14.993000,295.0,256.0,259.0,327.0,True,SOFT,7.0,False,Red Bull Racing,0 days 01:11:56.050000,2026-07-25 11:28:57.094,1,,False,,False,True,78.943,78.943
71,0 days 01:15:16.554000,HAD,6,0 days 00:02:01.561000,16.0,4.0,,,40.73,41.87,38.961,0 days 01:13:55.723000,0 days 01:14:37.593000,0 days 01:15:16.554000,175.0,166.0,67.0,206.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:13:14.993000,2026-07-25 11:30:16.037,1,,False,,False,True,121.561,121.56099999999999
72,0 days 01:17:16.602000,HAD,6,0 days 00:02:00.048000,17.0,4.0,,0 days 01:17:14.880000,61.964,30.496,27.588,0 days 01:16:18.518000,0 days 01:16:49.014000,0 days 01:17:16.602000,275.0,245.0,,261.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:15:16.554000,2026-07-25 11:32:17.598,1,,False,,False,False,120.048,120.048
73,0 days 00:39:03.667000,GAS,10,,1.0,1.0,0 days 00:32:06.060000,0 days 00:33:46.518000,,33.248,,,0 days 00:33:13.587000,,260.0,219.0,,,False,SOFT,1.0,True,Alpine,0 days 00:32:06.060000,2026-07-25 10:49:07.104,125,,False,,False,False,,
74,0 days 00:40:36.404000,GAS,10,,2.0,2.0,0 days 00:39:03.667000,,,32.941,25.515,,0 days 00:40:11.118000,0 days 00:40:36.600000,271.0,217.0,269.0,,False,SOFT,4.0,False,Alpine,0 days 00:39:03.667000,2026-07-25 10:56:04.711,1,,False,,False,False,,
75,0 days 00:41:58.157000,GAS,10,0 days 00:01:21.753000,3.0,2.0,,,28.481,29.822,23.45,0 days 00:41:04.885000,0 days 00:41:34.707000,0 days 00:41:58.157000,297.0,245.0,249.0,330.0,True,SOFT,5.0,False,Alpine,0 days 00:40:36.404000,2026-07-25 10:57:37.448,1,,False,,False,True,81.753,81.753
76,0 days 00:44:04.068000,GAS,10,0 days 00:02:05.911000,4.0,2.0,,,41.932,47.057,36.922,0 days 00:42:40.089000,0 days 00:43:27.146000,0 days 00:44:04.068000,197.0,139.0,168.0,243.0,False,SOFT,6.0,False,Alpine,0 days 00:41:58.157000,2026-07-25 10:58:59.201,1,,False,,False,True,125.911,125.911
77,0 days 00:45:48.861000,GAS,10,0 days 00:01:44.793000,5.0,2.0,,,38.333,39.011,27.449,0 days 00:44:42.401000,0 days 00:45:21.412000,0 days 00:45:48.861000,249.0,212.0,266.0,232.0,False,SOFT,7.0,False,Alpine,0 days 00:44:04.068000,2026-07-25 11:01:05.112,1,,False,,False,True,104.793,104.79299999999999
78,0 days 00:47:29.874000,GAS,10,0 days 00:01:41.013000,6.0,2.0,,,36.768,37.279,26.966,0 days 00:46:25.629000,0 days 00:47:02.908000,0 days 00:47:29.874000,138.0,215.0,265.0,333.0,False,SOFT,8.0,False,Alpine,0 days 00:45:48.861000,2026-07-25 11:02:49.905,1,,False,,False,True,101.013,101.013
